122
6
7
75,2
,4
7,55
6,65
55,25
,45
55,6
5,7
55,15
,35
7,5
,6
6,3
,5
6,65
7,75
75,2
,4
7,55
6,65
55,25
,45
55,6
5,7
55,15
,35
6,5
,6
6,3
,5
6,65
7,75
75,2
,4
7,55
6,65
55,25
,45
55,6
5,7
55,15
,35
7,5
,6
6,3
,5
55,65
6,75
55,2
5-5,4
5,55
6,65
55,25
5,45
45,6
5,7
5,3
,5
,65
,75
,3+65
,3+65
,3+7
,3+7
5-45,3
5-45,5
5,65
5-45,75
5-45,85
5-45,75
5,65
5,5
45,25
5,45
45,6
,7
,8
,7
4,6
35,45
4,2
,4
4,55
45-5,65
5,75
5,65
5,55
55,4
6,4
6,6
6,75
55-55,85
55,25
,45
,6
,7
5-45,3
5-45,5
5,65
5-45,75
5-45,85
5-45,75
5,65
5,5
45,25
5,45
45,6
,7
,8
,7
4,6
35,45
4,2
,4
,55
55,65
45,25
35,45
35,6
4-4,7
